,duplicates,origin
0,Maria,
1,Sara,
2,Mona,
3,Sarah,
4,Laila,
5,Susan,
6,Nadia,
7,Sofia,
8,Hanna,
9,Naja,
10,Nadja,
11,Jasmin,
12,Lina,
13,Ali,
14,Fatima,
15,Fatma,
16,May,
17,Yasmin,
18,Leila,
19,Jul,
20,Miriam,
21,Mariam,
22,Bibi,
23,Hassan,
24,Ahmad,
25,Amina,
26,Zahra,
27,Mina,
28,Jan,
29,Ali,
30,Mohammad,
31,Mohamed,
32,Adam,
33,Ahmad,
34,Elias,
35,Ahmed,
36,Hassan,
37,Ibrahim,
38,Mohamad,
39,Mohammed,
40,Mustafa,
41,Jul,
42,Mehmet,
43,Hussein,
44,Mahmoud,
45,Abdul,
46,Omar,
47,Malik,
48,Osman,
49,Abdi,
50,Hasan,
51,Said,
52,Ismail,
53,Ahmet,
54,Khaled,
55,Ben,
56,Yusuf,
57,Adnan,
58,Abdullah,
59,Sami,
60,Samir,
61,Amir,
62,Muhammad,
63,Abbas,
64,Bilal,
65,Jamal,
66,Jamal,
67,Muhammed,
68,Karim,
69,Youssef,
70,Hamid,
71,Abdullahi,
72,Hussain,
73,Saleh,
74,Ali,
75,Ahmed,
76,Mohamed,
77,Hassan,
78,Hassan,
79,Ahmad,
80,Khan,
81,Hussain,
82,Hussein,
83,Ibrahim,
84,Mohammad,
85,Abdi,
86,Iqbal,
87,Farah,
88,Mohamad,
89,Begum,
90,Akhtar,
91,Ismail,
92,Saleh,
93,Omar,
94,Shah,
95,Kaiser,
96,Gad,
97,Jama,
98,Malik,
