,duplicates,origin
0,Sofia,DK
1,Samir,M
2,Jamal,M
3,Omar,M
4,May,DK
5,Abbas,M
6,Ali,M
7,Ahmad,M
8,Elias,DK
9,Ismail,M
10,Lina,DK
11,Ibrahim,M
12,Jul,DK
13,Abdul,M
14,Muhammad,M
15,Youssef,M
16,Amir,M
17,Bibi,M
18,Mariam,M
19,Adnan,M
20,Mohammad,M
21,Nadia,DK
22,Yasmin,M
23,Yusuf,M
24,Fatima,M
25,Said,M
26,Mohamed,M
27,Muhammed,M
28,Hussain,M
29,Hassan,M
30,Sami,M
31,Karim,M
32,Malik,M
33,Mohamad,M
34,Abdullah,M
35,Amina,M
36,Leila,M
37,Adam,DK
38,Susan,DK
39,Ben,B
40,Sara,B
41,Hasan,M
42,Mehmet,M
43,Mohammed,M
44,Sarah,B
45,Bilal,M
46,Miriam,M
47,Mahmoud,M
48,Hussein,M
49,Naja,DK
50,Jan,DK
51,Osman,M
52,Mustafa,M
53,Fatma,M
54,Khaled,M
55,Abdullahi,M
56,Laila,B
57,Mona,DK
58,Nadja,DK
59,Hamid,M
60,Hanna,DK
61,Mina,M
62,Abdi,M
63,Jasmin,B
64,Maria,DK
65,Zahra,M
66,Ahmed,M
67,Saleh,M
68,Ahmet,M
