,wall_time,token_acc,token_p,token_r,token_f,pos_acc,tag_acc,ents_p,ents_r,ents_f,ents_per_type_PER_p,ents_per_type_PER_r,ents_per_type_PER_f,ents_per_type_LOC_p,ents_per_type_LOC_r,ents_per_type_LOC_f,ents_per_type_MISC_p,ents_per_type_MISC_r,ents_per_type_MISC_f,ents_per_type_ORG_p,ents_per_type_ORG_r,ents_per_type_ORG_f,ents_excl_MISC_ents_p,ents_excl_MISC_ents_r,ents_excl_MISC_ents_f,dep_uas,dep_las,dep_las_per_type_nummod_p,dep_las_per_type_nummod_r,dep_las_per_type_nummod_f,dep_las_per_type_amod_p,dep_las_per_type_amod_r,dep_las_per_type_amod_f,dep_las_per_type_nmod_p,dep_las_per_type_nmod_r,dep_las_per_type_nmod_f,dep_las_per_type_nsubj_p,dep_las_per_type_nsubj_r,dep_las_per_type_nsubj_f,dep_las_per_type_cc_p,dep_las_per_type_cc_r,dep_las_per_type_cc_f,dep_las_per_type_conj_p,dep_las_per_type_conj_r,dep_las_per_type_conj_f,dep_las_per_type_flat_p,dep_las_per_type_flat_r,dep_las_per_type_flat_f,dep_las_per_type_root_p,dep_las_per_type_root_r,dep_las_per_type_root_f,dep_las_per_type_advmod_p,dep_las_per_type_advmod_r,dep_las_per_type_advmod_f,dep_las_per_type_mark_p,dep_las_per_type_mark_r,dep_las_per_type_mark_f,dep_las_per_type_aux_p,dep_las_per_type_aux_r,dep_las_per_type_aux_f,dep_las_per_type_ccomp_p,dep_las_per_type_ccomp_r,dep_las_per_type_ccomp_f,dep_las_per_type_case_p,dep_las_per_type_case_r,dep_las_per_type_case_f,dep_las_per_type_det_p,dep_las_per_type_det_r,dep_las_per_type_det_f,dep_las_per_type_obl_p,dep_las_per_type_obl_r,dep_las_per_type_obl_f,dep_las_per_type_nmod:poss_p,dep_las_per_type_nmod:poss_r,dep_las_per_type_nmod:poss_f,dep_las_per_type_obj_p,dep_las_per_type_obj_r,dep_las_per_type_obj_f,dep_las_per_type_cop_p,dep_las_per_type_cop_r,dep_las_per_type_cop_f,dep_las_per_type_acl:relcl_p,dep_las_per_type_acl:relcl_r,dep_las_per_type_acl:relcl_f,dep_las_per_type_compound:prt_p,dep_las_per_type_compound:prt_r,dep_las_per_type_compound:prt_f,dep_las_per_type_advcl_p,dep_las_per_type_advcl_r,dep_las_per_type_advcl_f,dep_las_per_type_dep_p,dep_las_per_type_dep_r,dep_las_per_type_dep_f,dep_las_per_type_fixed_p,dep_las_per_type_fixed_r,dep_las_per_type_fixed_f,dep_las_per_type_iobj_p,dep_las_per_type_iobj_r,dep_las_per_type_iobj_f,dep_las_per_type_appos_p,dep_las_per_type_appos_r,dep_las_per_type_appos_f,dep_las_per_type_obl:tmod_p,dep_las_per_type_obl:tmod_r,dep_las_per_type_obl:tmod_f,dep_las_per_type_xcomp_p,dep_las_per_type_xcomp_r,dep_las_per_type_xcomp_f,dep_las_per_type_obl:loc_p,dep_las_per_type_obl:loc_r,dep_las_per_type_obl:loc_f,dep_las_per_type_list_p,dep_las_per_type_list_r,dep_las_per_type_list_f,dep_las_per_type_expl_p,dep_las_per_type_expl_r,dep_las_per_type_expl_f,dep_las_per_type_vocative_p,dep_las_per_type_vocative_r,dep_las_per_type_vocative_f,dep_las_per_type_discourse_p,dep_las_per_type_discourse_r,dep_las_per_type_discourse_f,dep_las_per_type_goeswith_p,dep_las_per_type_goeswith_r,dep_las_per_type_goeswith_f,k,model,augmenter,i
0,30.596408128738403,0.9990550554533247,0.9961244161780781,0.9956297179181566,0.9958770056132333,0.9794091316025068,0.0,0.7412844036697248,0.7240143369175627,0.7325475974614687,0.8279569892473119,0.8555555555555555,0.8415300546448087,0.6810344827586207,0.8229166666666666,0.7452830188679245,0.672,0.6942148760330579,0.6829268292682927,0.7372881355932204,0.5403726708074534,0.6236559139784946,0.7619047619047619,0.7322654462242563,0.7467911318553092,0.8655038535087212,0.8339804137451468,0.8611111111111112,0.8157894736842105,0.8378378378378377,0.8733459357277883,0.8461538461538461,0.8595348837209302,0.6878980891719745,0.7136563876651982,0.7005405405405404,0.9097744360902256,0.8944033790918691,0.9020234291799787,0.8481848184818482,0.8481848184818482,0.8481848184818482,0.7685714285714286,0.7797101449275362,0.7741007194244605,0.9012875536480687,0.9012875536480687,0.9012875536480687,0.8598290598290599,0.8902654867256637,0.8747826086956523,0.79,0.7659279778393352,0.7777777777777778,0.9253731343283582,0.9333333333333333,0.9293361884368309,0.9099378881987578,0.9015384615384615,0.9057187017001546,0.6630434782608695,0.7721518987341772,0.7134502923976608,0.908994708994709,0.9023109243697479,0.9056404849762785,0.9226190476190477,0.9375,0.93,0.8078902229845626,0.7572347266881029,0.7817427385892117,0.6759259259259259,0.6697247706422018,0.6728110599078341,0.8376383763837638,0.8714011516314779,0.8541862652869238,0.8296703296703297,0.8579545454545454,0.8435754189944134,0.6956521739130435,0.6994535519125683,0.6975476839237058,0.625,0.4411764705882353,0.5172413793103449,0.7019230769230769,0.6952380952380952,0.6985645933014354,0.14444444444444443,0.4482758620689655,0.2184873949579832,0.9629629629629629,0.8253968253968254,0.8888888888888888,0.6363636363636364,0.4666666666666667,0.5384615384615385,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.7777777777777778,0.4375,0.56,0.6875,0.43137254901960786,0.5301204819277109,0.7592592592592593,0.803921568627451,0.780952380952381,0.38461538461538464,0.29411764705882354,0.33333333333333337,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,dacy_small,Danish names,0
0,26.269478797912598,0.9991545233003432,0.9961240310077519,0.9959260731319555,0.9960250422339262,0.9801522160871512,0.0,0.7326007326007326,0.7168458781362007,0.7246376811594203,0.848314606741573,0.8388888888888889,0.8435754189944135,0.6638655462184874,0.8229166666666666,0.7348837209302325,0.664,0.6859504132231405,0.6747967479674797,0.7016129032258065,0.5403726708074534,0.6105263157894737,0.7529691211401425,0.7254004576659039,0.7389277389277389,0.867200185571793,0.8355369983762468,0.8532110091743119,0.8157894736842105,0.8340807174887891,0.8783269961977186,0.8461538461538461,0.8619402985074627,0.6980728051391863,0.7180616740088106,0.7079261672095549,0.9081196581196581,0.8975712777191129,0.9028146574614975,0.8486842105263158,0.8514851485148515,0.8500823723228994,0.7570621468926554,0.7768115942028986,0.7668097281831188,0.875,0.8864628820960698,0.8806941431670282,0.8617747440273038,0.8938053097345132,0.8774978279756734,0.7928571428571428,0.7686980609418282,0.780590717299578,0.9230769230769231,0.9290322580645162,0.9260450160771705,0.9161490683229814,0.9076923076923077,0.911901081916538,0.6847826086956522,0.7974683544303798,0.736842105263158,0.9072708113804004,0.9044117647058824,0.9058390320883746,0.9246031746031746,0.9395161290322581,0.9319999999999999,0.8061749571183533,0.7556270096463023,0.7800829875518672,0.7254901960784313,0.6788990825688074,0.7014218009478673,0.8388888888888889,0.8694817658349329,0.8539114043355326,0.8186813186813187,0.8465909090909091,0.8324022346368716,0.6956521739130435,0.6994535519125683,0.6975476839237058,0.5769230769230769,0.4411764705882353,0.5,0.7115384615384616,0.7047619047619048,0.7081339712918662,0.15294117647058825,0.4482758620689655,0.22807017543859653,0.9454545454545454,0.8253968253968254,0.8813559322033897,0.6363636363636364,0.4666666666666667,0.5384615384615385,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.7777777777777778,0.4375,0.56,0.7419354838709677,0.45098039215686275,0.5609756097560976,0.7735849056603774,0.803921568627451,0.7884615384615384,0.45454545454545453,0.29411764705882354,0.35714285714285715,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,dacy_small,Muslim names,1
0,24.778981924057007,0.9991540184125405,0.9965194908512331,0.9961232604373758,0.9963213362497515,0.9801930924654125,0.0,0.7655677655677655,0.7491039426523297,0.7572463768115941,0.8677248677248677,0.9111111111111111,0.8888888888888887,0.7272727272727273,0.8333333333333334,0.7766990291262137,0.6942148760330579,0.6942148760330579,0.6942148760330579,0.7142857142857143,0.5590062111801242,0.627177700348432,0.7858823529411765,0.7643020594965675,0.7749419953596288,0.868016476184951,0.8361083715263677,0.8532110091743119,0.8157894736842105,0.8340807174887891,0.870722433460076,0.8388278388278388,0.8544776119402984,0.6974248927038627,0.7158590308370044,0.7065217391304348,0.911134903640257,0.8986272439281943,0.9048378522062731,0.8509933774834437,0.8481848184818482,0.8495867768595042,0.7570621468926554,0.7768115942028986,0.7668097281831188,0.9126637554585153,0.9288888888888889,0.920704845814978,0.8709122203098106,0.8955752212389381,0.8830715532286212,0.7877492877492878,0.7659279778393352,0.7766853932584269,0.9273504273504274,0.9333333333333333,0.9303322615219722,0.921875,0.9076923076923077,0.9147286821705427,0.6703296703296703,0.7721518987341772,0.7176470588235294,0.9092827004219409,0.9054621848739496,0.9073684210526316,0.9247524752475248,0.9415322580645161,0.9330669330669331,0.8020477815699659,0.7556270096463023,0.7781456953642385,0.7009345794392523,0.6880733944954128,0.6944444444444443,0.8435754189944135,0.8694817658349329,0.8563327032136107,0.8342541436464088,0.8579545454545454,0.84593837535014,0.6827956989247311,0.6939890710382514,0.6883468834688347,0.6,0.4411764705882353,0.5084745762711865,0.7184466019417476,0.7047619047619048,0.7115384615384616,0.14285714285714285,0.4482758620689655,0.21666666666666665,0.9454545454545454,0.8253968253968254,0.8813559322033897,0.6363636363636364,0.4666666666666667,0.5384615384615385,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.7777777777777778,0.4375,0.56,0.7741935483870968,0.47058823529411764,0.5853658536585367,0.7358490566037735,0.7647058823529411,0.7499999999999999,0.4166666666666667,0.29411764705882354,0.3448275862068966,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,dacy_small,Female names,2
0,25.31967544555664,0.9991539342059425,0.9965191447041273,0.99612287503728,0.9963209704683306,0.9799920366314951,0.0,0.7775735294117647,0.7580645161290323,0.7676950998185118,0.8697916666666666,0.9277777777777778,0.8978494623655914,0.7168141592920354,0.84375,0.7751196172248803,0.6859504132231405,0.6859504132231405,0.6859504132231405,0.7796610169491526,0.5714285714285714,0.6594982078853047,0.8037825059101655,0.7780320366132724,0.7906976744186047,0.8674363288275222,0.8356442536404247,0.8532110091743119,0.8157894736842105,0.8340807174887891,0.872865275142315,0.8424908424908425,0.8574091332712023,0.6965811965811965,0.7180616740088106,0.7071583514099783,0.9113247863247863,0.9007391763463569,0.9060010621348911,0.8481848184818482,0.8481848184818482,0.8481848184818482,0.7471590909090909,0.7623188405797101,0.7546628407460545,0.9,0.9241071428571429,0.9118942731277534,0.8721934369602763,0.8938053097345132,0.8828671328671328,0.7875354107648725,0.7700831024930748,0.7787114845938375,0.9230769230769231,0.9290322580645162,0.9260450160771705,0.9158878504672897,0.9046153846153846,0.9102167182662539,0.6813186813186813,0.7848101265822784,0.7294117647058823,0.9071729957805907,0.9033613445378151,0.9052631578947369,0.9229249011857708,0.9415322580645161,0.932135728542914,0.8058419243986255,0.7540192926045016,0.7790697674418604,0.6915887850467289,0.6788990825688074,0.6851851851851852,0.8512241054613936,0.8675623800383877,0.8593155893536122,0.8287292817679558,0.8522727272727273,0.8403361344537815,0.6844919786096256,0.6994535519125683,0.6918918918918919,0.6,0.4411764705882353,0.5084745762711865,0.7254901960784313,0.7047619047619048,0.7149758454106281,0.14444444444444443,0.4482758620689655,0.2184873949579832,0.9454545454545454,0.8253968253968254,0.8813559322033897,0.6666666666666666,0.5333333333333333,0.5925925925925926,0.5609756097560976,0.6052631578947368,0.5822784810126583,0.7777777777777778,0.4375,0.56,0.78125,0.49019607843137253,0.6024096385542168,0.7647058823529411,0.7647058823529411,0.7647058823529412,0.4166666666666667,0.29411764705882354,0.3448275862068966,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,dacy_small,Male names,3
0,24.128580331802368,0.9991567042015973,0.9965305313243458,0.9961355529131986,0.9963330029732409,0.9804544101597381,0.0,0.7426470588235294,0.7240143369175627,0.7332123411978221,0.8360655737704918,0.85,0.8429752066115703,0.6864406779661016,0.84375,0.7570093457943925,0.6747967479674797,0.6859504132231405,0.680327868852459,0.725,0.5403726708074534,0.6192170818505338,0.7624703087885986,0.7345537757437071,0.7482517482517481,0.865911455323084,0.8345855970408045,0.8611111111111112,0.8157894736842105,0.8378378378378377,0.8712121212121212,0.8424908424908425,0.8566108007448789,0.6991341991341992,0.711453744493392,0.7052401746724891,0.9108485499462943,0.8954593453009504,0.9030883919062833,0.8519736842105263,0.8547854785478548,0.8533772652388797,0.7606837606837606,0.7739130434782608,0.7672413793103448,0.8505747126436781,0.8638132295719845,0.8571428571428571,0.8600682593856656,0.8920353982300885,0.8757602085143354,0.7882689556509299,0.7631578947368421,0.7755102040816327,0.9234042553191489,0.9333333333333333,0.9283422459893049,0.9099378881987578,0.9015384615384615,0.9057187017001546,0.7045454545454546,0.7848101265822784,0.7425149700598803,0.9063157894736842,0.9044117647058824,0.9053627760252365,0.9209486166007905,0.9395161290322581,0.9301397205588824,0.8102564102564103,0.7620578778135049,0.7854183927091964,0.7129629629629629,0.7064220183486238,0.7096774193548386,0.848314606741573,0.8694817658349329,0.8587677725118483,0.8296703296703297,0.8579545454545454,0.8435754189944134,0.6939890710382514,0.6939890710382514,0.6939890710382514,0.625,0.4411764705882353,0.5172413793103449,0.7009345794392523,0.7142857142857143,0.7075471698113207,0.14444444444444443,0.4482758620689655,0.2184873949579832,0.9454545454545454,0.8253968253968254,0.8813559322033897,0.6666666666666666,0.5333333333333333,0.5925925925925926,0.5476190476190477,0.6052631578947368,0.575,0.7777777777777778,0.4375,0.56,0.7666666666666667,0.45098039215686275,0.5679012345679013,0.7592592592592593,0.803921568627451,0.780952380952381,0.4166666666666667,0.29411764705882354,0.3448275862068966,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,dacy_small,Muslim female names,4
0,26.096598863601685,0.999155447364499,0.9965253648366922,0.9961298005358737,0.9963275434243176,0.980127186009539,0.0,0.7294332723948812,0.7150537634408602,0.7221719457013575,0.8186813186813187,0.8277777777777777,0.8232044198895027,0.6779661016949152,0.8333333333333334,0.7476635514018691,0.664,0.6859504132231405,0.6747967479674797,0.7131147540983607,0.5403726708074534,0.6148409893992933,0.7488151658767772,0.7231121281464531,0.7357392316647264,0.8656128770771814,0.8331885820160962,0.8611111111111112,0.8157894736842105,0.8378378378378377,0.8693181818181818,0.8406593406593407,0.8547486033519553,0.6946236559139785,0.711453744493392,0.7029379760609357,0.9098712446351931,0.8954593453009504,0.9026077700904735,0.8509933774834437,0.8481848184818482,0.8495867768595042,0.7692307692307693,0.782608695652174,0.7758620689655172,0.8518518518518519,0.8553719008264463,0.8536082474226805,0.8662092624356775,0.8938053097345132,0.8797909407665505,0.7858156028368795,0.7673130193905817,0.7764540995094604,0.9171974522292994,0.9290322580645162,0.9230769230769231,0.9127725856697819,0.9015384615384615,0.9071207430340557,0.6847826086956522,0.7974683544303798,0.736842105263158,0.9091869060190074,0.9044117647058824,0.9067930489731438,0.9227722772277228,0.9395161290322581,0.9310689310689311,0.8006814310051107,0.7556270096463023,0.7775020678246485,0.6666666666666666,0.6605504587155964,0.6635944700460831,0.849906191369606,0.8694817658349329,0.8595825426944972,0.8176795580110497,0.8409090909090909,0.8291316526610645,0.6844919786096256,0.6994535519125683,0.6918918918918919,0.7142857142857143,0.4411764705882353,0.5454545454545455,0.72,0.6857142857142857,0.702439024390244,0.13978494623655913,0.4482758620689655,0.21311475409836064,0.9629629629629629,0.8253968253968254,0.8888888888888888,0.6666666666666666,0.5333333333333333,0.5925925925925926,0.575,0.6052631578947368,0.5897435897435896,0.7777777777777778,0.4375,0.56,0.7272727272727273,0.47058823529411764,0.5714285714285714,0.7592592592592593,0.803921568627451,0.780952380952381,0.4166666666666667,0.29411764705882354,0.3448275862068966,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,dacy_small,Muslim male names,5
0,12.027002811431885,0.999150891563858,0.996506637388961,0.9961089494163424,0.9963077537171939,0.9557964137655461,0.0,0.7574626865671642,0.7275985663082437,0.7422303473491773,0.8764044943820225,0.8666666666666667,0.8715083798882682,0.6880733944954128,0.78125,0.7317073170731707,0.6666666666666666,0.6942148760330579,0.680161943319838,0.7398373983739838,0.5652173913043478,0.6408450704225351,0.7853658536585366,0.7368421052631579,0.7603305785123967,0.850919311394777,0.818128586485537,0.8272727272727273,0.7982456140350878,0.8125,0.872093023255814,0.8241758241758241,0.847457627118644,0.6991341991341992,0.711453744493392,0.7052401746724891,0.8920940170940171,0.8817317845828934,0.88688263409453,0.84,0.8316831683168316,0.835820895522388,0.7130681818181818,0.7275362318840579,0.7202295552367288,0.8677248677248677,0.8723404255319149,0.870026525198939,0.8576388888888888,0.8743362831858407,0.8659070990359334,0.7896253602305475,0.7590027700831025,0.7740112994350282,0.9199134199134199,0.9139784946236559,0.9169363538295577,0.8984126984126984,0.8707692307692307,0.8843749999999999,0.7023809523809523,0.7468354430379747,0.7239263803680981,0.8811777076761304,0.8802521008403361,0.880714661061482,0.9262295081967213,0.9112903225806451,0.9186991869918699,0.7923211169284468,0.729903536977492,0.7598326359832636,0.7102803738317757,0.6972477064220184,0.7037037037037038,0.8223062381852552,0.8349328214971209,0.8285714285714285,0.8222222222222222,0.8409090909090909,0.8314606741573033,0.6988636363636364,0.6721311475409836,0.6852367688022284,0.5652173913043478,0.38235294117647056,0.45614035087719296,0.6886792452830188,0.6952380952380952,0.6919431279620852,0.11,0.3793103448275862,0.17054263565891473,0.9464285714285714,0.8412698412698413,0.8907563025210083,0.6363636363636364,0.4666666666666667,0.5384615384615385,0.5833333333333334,0.5526315789473685,0.5675675675675677,0.5833333333333334,0.4375,0.5,0.8387096774193549,0.5098039215686274,0.6341463414634145,0.7843137254901961,0.7843137254901961,0.7843137254901961,0.25,0.23529411764705882,0.24242424242424243,0.8571428571428571,0.7692307692307693,0.8108108108108107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,dacy_small,Input size augmentation 5 sentences,7
0,9.718125581741333,0.999150891563858,0.996506637388961,0.9961089494163424,0.9963077537171939,0.958941058941059,0.0,0.7705223880597015,0.7401433691756273,0.7550274223034735,0.8926553672316384,0.8777777777777778,0.8851540616246499,0.7,0.8020833333333334,0.7475728155339806,0.688,0.7107438016528925,0.6991869918699186,0.7419354838709677,0.5714285714285714,0.6456140350877193,0.7956204379562044,0.7482837528604119,0.7712264150943396,0.8528133442969575,0.8211663828037823,0.8148148148148148,0.7719298245614035,0.7927927927927928,0.8579654510556622,0.8186813186813187,0.837863167760075,0.7065217391304348,0.7158590308370044,0.7111597374179431,0.8996763754045307,0.880675818373812,0.8900747065101386,0.8662207357859532,0.8547854785478548,0.8604651162790697,0.750733137829912,0.7420289855072464,0.7463556851311954,0.8168316831683168,0.8776595744680851,0.8461538461538461,0.8657243816254417,0.8672566371681416,0.8664898320070734,0.784992784992785,0.7534626038781164,0.768904593639576,0.9090909090909091,0.9032258064516129,0.9061488673139159,0.8955696202531646,0.8707692307692307,0.8829953198127924,0.7209302325581395,0.7848101265822784,0.7515151515151515,0.9097826086956522,0.8792016806722689,0.8942307692307693,0.9327902240325866,0.9233870967741935,0.92806484295846,0.7793103448275862,0.7266881028938906,0.7520798668885192,0.6981132075471698,0.6788990825688074,0.6883720930232559,0.8622047244094488,0.8406909788867563,0.8513119533527697,0.8166666666666667,0.8352272727272727,0.8258426966292135,0.6847826086956522,0.6885245901639344,0.6866485013623979,0.6190476190476191,0.38235294117647056,0.4727272727272727,0.7346938775510204,0.6857142857142857,0.7093596059113301,0.125,0.41379310344827586,0.19200000000000003,0.9454545454545454,0.8253968253968254,0.8813559322033897,0.5833333333333334,0.4666666666666667,0.5185185185185186,0.5476190476190477,0.6052631578947368,0.575,0.5454545454545454,0.375,0.4444444444444444,0.8064516129032258,0.49019607843137253,0.6097560975609755,0.7272727272727273,0.7843137254901961,0.7547169811320754,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.9696969696969697,0.8205128205128205,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,dacy_small,Input size augmentation 10 sentences,7
