,FP,TP,FN,Precision,Recall,F1_score,k,model,augmenter,i
0,150,340,218,0.6938775510204082,0.6093189964157706,0.6488549618320609,0,spacy_small,Danish names,0
0,154,337,221,0.6863543788187373,0.6039426523297491,0.6425166825548141,1,spacy_small,Danish names,0
0,156,330,228,0.6790123456790124,0.5913978494623656,0.6321839080459771,2,spacy_small,Danish names,0
0,157,334,224,0.6802443991853361,0.5985663082437276,0.6367969494756911,3,spacy_small,Danish names,0
0,147,341,217,0.6987704918032787,0.6111111111111112,0.6520076481835564,4,spacy_small,Danish names,0
0,155,339,219,0.6862348178137652,0.6075268817204301,0.6444866920152091,5,spacy_small,Danish names,0
0,155,335,223,0.6836734693877551,0.600358422939068,0.6393129770992365,6,spacy_small,Danish names,0
0,154,343,215,0.6901408450704225,0.6146953405017921,0.6502369668246446,7,spacy_small,Danish names,0
0,157,336,222,0.6815415821501014,0.6021505376344086,0.6393910561370123,8,spacy_small,Danish names,0
0,153,336,222,0.6871165644171779,0.6021505376344086,0.6418338108882522,9,spacy_small,Danish names,0
0,149,341,217,0.6959183673469388,0.6111111111111112,0.6507633587786259,10,spacy_small,Danish names,0
0,154,341,217,0.6888888888888889,0.6111111111111112,0.647673314339981,11,spacy_small,Danish names,0
0,152,334,224,0.6872427983539094,0.5985663082437276,0.6398467432950192,12,spacy_small,Danish names,0
0,154,340,218,0.6882591093117408,0.6093189964157706,0.6463878326996199,13,spacy_small,Danish names,0
0,150,341,217,0.6945010183299389,0.6111111111111112,0.6501429933269781,14,spacy_small,Danish names,0
0,158,326,232,0.6735537190082644,0.5842293906810035,0.6257197696737044,15,spacy_small,Danish names,0
0,150,344,214,0.6963562753036437,0.6164874551971327,0.6539923954372625,16,spacy_small,Danish names,0
0,148,346,212,0.7004048582995951,0.6200716845878136,0.6577946768060836,17,spacy_small,Danish names,0
0,150,341,217,0.6945010183299389,0.6111111111111112,0.6501429933269781,18,spacy_small,Danish names,0
0,151,336,222,0.6899383983572895,0.6021505376344086,0.6430622009569378,19,spacy_small,Danish names,0
0,180,296,262,0.6218487394957983,0.5304659498207885,0.5725338491295937,0,spacy_small,Muslim names,1
0,183,295,263,0.6171548117154811,0.5286738351254481,0.5694980694980696,1,spacy_small,Muslim names,1
0,184,290,268,0.6118143459915611,0.5197132616487455,0.562015503875969,2,spacy_small,Muslim names,1
0,183,295,263,0.6171548117154811,0.5286738351254481,0.5694980694980696,3,spacy_small,Muslim names,1
0,185,300,258,0.6185567010309279,0.5376344086021505,0.5752636625119847,4,spacy_small,Muslim names,1
0,171,305,253,0.6407563025210085,0.546594982078853,0.5899419729206964,5,spacy_small,Muslim names,1
0,178,301,257,0.6283924843423799,0.5394265232974911,0.5805207328833172,6,spacy_small,Muslim names,1
0,172,301,257,0.6363636363636364,0.5394265232974911,0.5838991270611057,7,spacy_small,Muslim names,1
0,180,292,266,0.6186440677966102,0.5232974910394266,0.5669902912621361,8,spacy_small,Muslim names,1
0,169,302,256,0.6411889596602972,0.5412186379928315,0.5869776482021379,9,spacy_small,Muslim names,1
0,191,293,265,0.6053719008264463,0.525089605734767,0.5623800383877159,10,spacy_small,Muslim names,1
0,196,290,268,0.5967078189300411,0.5197132616487455,0.5555555555555556,11,spacy_small,Muslim names,1
0,176,312,246,0.639344262295082,0.5591397849462365,0.5965583173996176,12,spacy_small,Muslim names,1
0,165,306,252,0.6496815286624203,0.5483870967741935,0.5947521865889213,13,spacy_small,Muslim names,1
0,181,295,263,0.6197478991596639,0.5286738351254481,0.5705996131528047,14,spacy_small,Muslim names,1
0,184,294,264,0.6150627615062761,0.5268817204301075,0.5675675675675674,15,spacy_small,Muslim names,1
0,179,306,252,0.6309278350515464,0.5483870967741935,0.5867689357622243,16,spacy_small,Muslim names,1
0,177,300,258,0.6289308176100629,0.5376344086021505,0.5797101449275363,17,spacy_small,Muslim names,1
0,184,296,262,0.6166666666666667,0.5304659498207885,0.5703275529865125,18,spacy_small,Muslim names,1
0,178,307,251,0.6329896907216495,0.5501792114695341,0.588686481303931,19,spacy_small,Muslim names,1
0,152,342,216,0.6923076923076923,0.6129032258064516,0.6501901140684411,0,spacy_small,Female names,2
0,141,351,207,0.7134146341463414,0.6290322580645161,0.6685714285714286,1,spacy_small,Female names,2
0,158,337,221,0.6808080808080809,0.6039426523297491,0.6400759734093068,2,spacy_small,Female names,2
0,152,343,215,0.692929292929293,0.6146953405017921,0.6514719848053181,3,spacy_small,Female names,2
0,164,329,229,0.6673427991886409,0.589605734767025,0.6260704091341579,4,spacy_small,Female names,2
0,157,336,222,0.6815415821501014,0.6021505376344086,0.6393910561370123,5,spacy_small,Female names,2
0,155,335,223,0.6836734693877551,0.600358422939068,0.6393129770992365,6,spacy_small,Female names,2
0,156,337,221,0.6835699797160243,0.6039426523297491,0.6412940057088486,7,spacy_small,Female names,2
0,153,342,216,0.6909090909090909,0.6129032258064516,0.6495726495726496,8,spacy_small,Female names,2
0,170,324,234,0.6558704453441295,0.5806451612903226,0.6159695817490494,9,spacy_small,Female names,2
0,147,344,214,0.7006109979633401,0.6164874551971327,0.6558627264061011,10,spacy_small,Female names,2
0,152,340,218,0.6910569105691057,0.6093189964157706,0.6476190476190475,11,spacy_small,Female names,2
0,153,337,221,0.6877551020408164,0.6039426523297491,0.6431297709923663,12,spacy_small,Female names,2
0,157,332,226,0.6789366053169734,0.5949820788530465,0.6341929321872015,13,spacy_small,Female names,2
0,151,341,217,0.693089430894309,0.6111111111111112,0.6495238095238095,14,spacy_small,Female names,2
0,146,348,210,0.7044534412955465,0.6236559139784946,0.6615969581749048,15,spacy_small,Female names,2
0,168,330,228,0.6626506024096386,0.5913978494623656,0.625,16,spacy_small,Female names,2
0,158,336,222,0.680161943319838,0.6021505376344086,0.6387832699619771,17,spacy_small,Female names,2
0,158,335,223,0.6795131845841785,0.600358422939068,0.637488106565176,18,spacy_small,Female names,2
0,154,341,217,0.6888888888888889,0.6111111111111112,0.647673314339981,19,spacy_small,Female names,2
0,152,347,211,0.6953907815631263,0.6218637992831542,0.6565752128666036,0,spacy_small,Male names,3
0,151,337,221,0.6905737704918032,0.6039426523297491,0.6443594646271511,1,spacy_small,Male names,3
0,150,346,212,0.6975806451612904,0.6200716845878136,0.6565464895635674,2,spacy_small,Male names,3
0,155,331,227,0.6810699588477366,0.5931899641577061,0.6340996168582376,3,spacy_small,Male names,3
0,154,338,220,0.6869918699186992,0.6057347670250897,0.6438095238095238,4,spacy_small,Male names,3
0,157,335,223,0.6808943089430894,0.600358422939068,0.6380952380952382,5,spacy_small,Male names,3
0,138,355,203,0.7200811359026369,0.6362007168458781,0.6755470980019029,6,spacy_small,Male names,3
0,148,339,219,0.6960985626283368,0.6075268817204301,0.6488038277511963,7,spacy_small,Male names,3
0,152,339,219,0.6904276985743381,0.6075268817204301,0.6463298379408962,8,spacy_small,Male names,3
0,154,337,221,0.6863543788187373,0.6039426523297491,0.6425166825548141,9,spacy_small,Male names,3
0,153,341,217,0.6902834008097166,0.6111111111111112,0.6482889733840306,10,spacy_small,Male names,3
0,145,346,212,0.7046843177189409,0.6200716845878136,0.659675881792183,11,spacy_small,Male names,3
0,147,343,215,0.7,0.6146953405017921,0.6545801526717556,12,spacy_small,Male names,3
0,156,339,219,0.6848484848484848,0.6075268817204301,0.6438746438746438,13,spacy_small,Male names,3
0,153,334,224,0.6858316221765913,0.5985663082437276,0.6392344497607656,14,spacy_small,Male names,3
0,148,346,212,0.7004048582995951,0.6200716845878136,0.6577946768060836,15,spacy_small,Male names,3
0,145,339,219,0.7004132231404959,0.6075268817204301,0.6506717850287909,16,spacy_small,Male names,3
0,157,334,224,0.6802443991853361,0.5985663082437276,0.6367969494756911,17,spacy_small,Male names,3
0,155,339,219,0.6862348178137652,0.6075268817204301,0.6444866920152091,18,spacy_small,Male names,3
0,158,342,216,0.684,0.6129032258064516,0.6465028355387524,19,spacy_small,Male names,3
0,186,302,256,0.6188524590163934,0.5412186379928315,0.5774378585086042,0,spacy_small,Muslim female names,4
0,175,307,251,0.6369294605809128,0.5501792114695341,0.5903846153846154,1,spacy_small,Muslim female names,4
0,191,288,270,0.6012526096033403,0.5161290322580645,0.5554484088717454,2,spacy_small,Muslim female names,4
0,187,293,265,0.6104166666666667,0.525089605734767,0.5645472061657033,3,spacy_small,Muslim female names,4
0,193,291,267,0.6012396694214877,0.521505376344086,0.5585412667946257,4,spacy_small,Muslim female names,4
0,188,288,270,0.6050420168067226,0.5161290322580645,0.5570599613152803,5,spacy_small,Muslim female names,4
0,193,288,270,0.5987525987525988,0.5161290322580645,0.5543792107795958,6,spacy_small,Muslim female names,4
0,184,290,268,0.6118143459915611,0.5197132616487455,0.562015503875969,7,spacy_small,Muslim female names,4
0,174,305,253,0.6367432150313153,0.546594982078853,0.5882352941176471,8,spacy_small,Muslim female names,4
0,180,297,261,0.6226415094339622,0.532258064516129,0.5739130434782608,9,spacy_small,Muslim female names,4
0,177,299,259,0.6281512605042017,0.53584229390681,0.5783365570599612,10,spacy_small,Muslim female names,4
0,175,303,255,0.6338912133891214,0.543010752688172,0.584942084942085,11,spacy_small,Muslim female names,4
0,181,300,258,0.6237006237006237,0.5376344086021505,0.5774783445620789,12,spacy_small,Muslim female names,4
0,177,300,258,0.6289308176100629,0.5376344086021505,0.5797101449275363,13,spacy_small,Muslim female names,4
0,179,305,253,0.6301652892561983,0.546594982078853,0.5854126679462571,14,spacy_small,Muslim female names,4
0,175,303,255,0.6338912133891214,0.543010752688172,0.584942084942085,15,spacy_small,Muslim female names,4
0,181,296,262,0.6205450733752621,0.5304659498207885,0.5719806763285025,16,spacy_small,Muslim female names,4
0,187,294,264,0.6112266112266113,0.5268817204301075,0.5659287776708373,17,spacy_small,Muslim female names,4
0,190,290,268,0.6041666666666666,0.5197132616487455,0.558766859344894,18,spacy_small,Muslim female names,4
0,181,301,257,0.6244813278008299,0.5394265232974911,0.5788461538461538,19,spacy_small,Muslim female names,4
0,187,288,270,0.6063157894736843,0.5161290322580645,0.5575992255566313,0,spacy_small,Muslim male names,5
0,171,307,251,0.6422594142259415,0.5501792114695341,0.5926640926640927,1,spacy_small,Muslim male names,5
0,183,300,258,0.6211180124223602,0.5376344086021505,0.5763688760806917,2,spacy_small,Muslim male names,5
