,FP,TP,FN,Precision,Recall,F1_score,k,model,augmenter,i
0,133,364,194,0.7323943661971831,0.6523297491039427,0.6900473933649289,19,spacy_large,Muslim names,1
0,107,401,157,0.7893700787401575,0.7186379928315412,0.7523452157598499,0,spacy_large,Female names,2
0,104,406,152,0.796078431372549,0.7275985663082437,0.7602996254681648,1,spacy_large,Female names,2
0,104,403,155,0.7948717948717948,0.7222222222222222,0.7568075117370893,2,spacy_large,Female names,2
0,107,401,157,0.7893700787401575,0.7186379928315412,0.7523452157598499,3,spacy_large,Female names,2
0,100,408,150,0.8031496062992126,0.7311827956989247,0.7654784240150093,4,spacy_large,Female names,2
0,104,405,153,0.7956777996070727,0.7258064516129032,0.7591377694470478,5,spacy_large,Female names,2
0,103,402,156,0.7960396039603961,0.7204301075268817,0.7563499529633115,6,spacy_large,Female names,2
0,101,408,150,0.8015717092337917,0.7311827956989247,0.7647610121836926,7,spacy_large,Female names,2
0,106,401,157,0.7909270216962525,0.7186379928315412,0.7530516431924882,8,spacy_large,Female names,2
0,103,405,153,0.797244094488189,0.7258064516129032,0.7598499061913696,9,spacy_large,Female names,2
0,102,405,153,0.7988165680473372,0.7258064516129032,0.7605633802816901,10,spacy_large,Female names,2
0,104,403,155,0.7948717948717948,0.7222222222222222,0.7568075117370893,11,spacy_large,Female names,2
0,99,406,152,0.803960396039604,0.7275985663082437,0.7638758231420509,12,spacy_large,Female names,2
0,105,403,155,0.7933070866141733,0.7222222222222222,0.7560975609756099,13,spacy_large,Female names,2
0,104,404,154,0.7952755905511811,0.7240143369175627,0.7579737335834897,14,spacy_large,Female names,2
0,105,402,156,0.7928994082840237,0.7204301075268817,0.7549295774647888,15,spacy_large,Female names,2
0,111,402,156,0.783625730994152,0.7204301075268817,0.7507002801120448,16,spacy_large,Female names,2
0,102,406,152,0.7992125984251969,0.7275985663082437,0.7617260787992495,17,spacy_large,Female names,2
0,109,401,157,0.7862745098039216,0.7186379928315412,0.7509363295880149,18,spacy_large,Female names,2
0,104,408,150,0.796875,0.7311827956989247,0.7626168224299065,19,spacy_large,Female names,2
0,101,407,151,0.8011811023622047,0.7293906810035843,0.7636022514071295,0,spacy_large,Male names,3
0,105,404,154,0.793713163064833,0.7240143369175627,0.7572633552014995,1,spacy_large,Male names,3
0,99,409,149,0.8051181102362205,0.7329749103942652,0.7673545966228894,2,spacy_large,Male names,3
0,100,408,150,0.8031496062992126,0.7311827956989247,0.7654784240150093,3,spacy_large,Male names,3
0,104,403,155,0.7948717948717948,0.7222222222222222,0.7568075117370893,4,spacy_large,Male names,3
0,98,411,147,0.8074656188605108,0.7365591397849462,0.7703842549203375,5,spacy_large,Male names,3
0,98,411,147,0.8074656188605108,0.7365591397849462,0.7703842549203375,6,spacy_large,Male names,3
0,99,411,147,0.8058823529411765,0.7365591397849462,0.7696629213483146,7,spacy_large,Male names,3
0,103,405,153,0.797244094488189,0.7258064516129032,0.7598499061913696,8,spacy_large,Male names,3
0,102,409,149,0.8003913894324853,0.7329749103942652,0.7652011225444341,9,spacy_large,Male names,3
0,102,407,151,0.7996070726915521,0.7293906810035843,0.7628865979381443,10,spacy_large,Male names,3
0,106,404,154,0.792156862745098,0.7240143369175627,0.7565543071161049,11,spacy_large,Male names,3
0,106,404,154,0.792156862745098,0.7240143369175627,0.7565543071161049,12,spacy_large,Male names,3
0,106,403,155,0.7917485265225933,0.7222222222222222,0.7553889409559512,13,spacy_large,Male names,3
0,102,404,154,0.7984189723320159,0.7240143369175627,0.7593984962406015,14,spacy_large,Male names,3
0,100,409,149,0.8035363457760314,0.7329749103942652,0.7666354264292409,15,spacy_large,Male names,3
0,104,402,156,0.7944664031620553,0.7204301075268817,0.7556390977443609,16,spacy_large,Male names,3
0,104,406,152,0.796078431372549,0.7275985663082437,0.7602996254681648,17,spacy_large,Male names,3
0,100,411,147,0.8043052837573386,0.7365591397849462,0.7689429373246025,18,spacy_large,Male names,3
0,109,402,156,0.786692759295499,0.7204301075268817,0.7521047708138446,19,spacy_large,Male names,3
0,154,341,217,0.6888888888888889,0.6111111111111112,0.647673314339981,0,spacy_large,Muslim female names,4
0,145,348,210,0.7058823529411765,0.6236559139784946,0.6622264509990485,1,spacy_large,Muslim female names,4
0,153,346,212,0.6933867735470942,0.6200716845878136,0.6546830652790918,2,spacy_large,Muslim female names,4
0,142,351,207,0.7119675456389453,0.6290322580645161,0.6679352997145576,3,spacy_large,Muslim female names,4
0,154,343,215,0.6901408450704225,0.6146953405017921,0.6502369668246446,4,spacy_large,Muslim female names,4
0,152,341,217,0.691683569979716,0.6111111111111112,0.648905803996194,5,spacy_large,Muslim female names,4
0,144,349,209,0.7079107505070994,0.6254480286738351,0.6641294005708849,6,spacy_large,Muslim female names,4
0,154,345,213,0.6913827655310621,0.6182795698924731,0.6527909176915799,7,spacy_large,Muslim female names,4
0,151,345,213,0.6955645161290323,0.6182795698924731,0.6546489563567361,8,spacy_large,Muslim female names,4
0,155,342,216,0.6881287726358148,0.6129032258064516,0.6483412322274882,9,spacy_large,Muslim female names,4
0,137,360,198,0.7243460764587525,0.6451612903225806,0.6824644549763033,10,spacy_large,Muslim female names,4
0,145,353,205,0.7088353413654619,0.6326164874551972,0.6685606060606062,11,spacy_large,Muslim female names,4
0,153,338,220,0.6883910386965377,0.6057347670250897,0.6444232602478551,12,spacy_large,Muslim female names,4
0,154,344,214,0.6907630522088354,0.6164874551971327,0.6515151515151515,13,spacy_large,Muslim female names,4
0,150,348,210,0.6987951807228916,0.6236559139784946,0.6590909090909091,14,spacy_large,Muslim female names,4
0,147,344,214,0.7006109979633401,0.6164874551971327,0.6558627264061011,15,spacy_large,Muslim female names,4
0,150,349,209,0.6993987975951904,0.6254480286738351,0.6603595080416271,16,spacy_large,Muslim female names,4
0,148,346,212,0.7004048582995951,0.6200716845878136,0.6577946768060836,17,spacy_large,Muslim female names,4
0,150,343,215,0.6957403651115619,0.6146953405017921,0.6527117031398668,18,spacy_large,Muslim female names,4
0,145,347,211,0.7052845528455285,0.6218637992831542,0.660952380952381,19,spacy_large,Muslim female names,4
0,131,372,186,0.7395626242544732,0.6666666666666666,0.7012252591894439,0,spacy_large,Muslim male names,5
0,125,370,188,0.7474747474747475,0.6630824372759857,0.7027540360873694,1,spacy_large,Muslim male names,5
0,131,361,197,0.733739837398374,0.6469534050179212,0.6876190476190477,2,spacy_large,Muslim male names,5
0,133,365,193,0.7329317269076305,0.6541218637992832,0.6912878787878788,3,spacy_large,Muslim male names,5
0,128,362,196,0.7387755102040816,0.6487455197132617,0.6908396946564885,4,spacy_large,Muslim male names,5
0,127,375,183,0.7470119521912351,0.6720430107526881,0.7075471698113207,5,spacy_large,Muslim male names,5
0,133,369,189,0.7350597609561753,0.6612903225806451,0.6962264150943396,6,spacy_large,Muslim male names,5
0,133,371,187,0.7361111111111112,0.6648745519713262,0.6986817325800377,7,spacy_large,Muslim male names,5
0,138,363,195,0.7245508982035929,0.6505376344086021,0.6855524079320112,8,spacy_large,Muslim male names,5
0,137,364,194,0.7265469061876247,0.6523297491039427,0.6874409820585459,9,spacy_large,Muslim male names,5
0,132,365,193,0.7344064386317908,0.6541218637992832,0.6919431279620853,10,spacy_large,Muslim male names,5
0,145,359,199,0.7123015873015873,0.6433691756272402,0.6760828625235404,11,spacy_large,Muslim male names,5
0,138,364,194,0.7250996015936255,0.6523297491039427,0.6867924528301887,12,spacy_large,Muslim male names,5
0,143,354,204,0.7122736418511066,0.6344086021505376,0.671090047393365,13,spacy_large,Muslim male names,5
0,126,372,186,0.7469879518072289,0.6666666666666666,0.7045454545454546,14,spacy_large,Muslim male names,5
0,137,362,196,0.7254509018036072,0.6487455197132617,0.6849574266792808,15,spacy_large,Muslim male names,5
0,126,375,183,0.7485029940119761,0.6720430107526881,0.7082152974504249,16,spacy_large,Muslim male names,5
0,135,361,197,0.7278225806451613,0.6469534050179212,0.6850094876660343,17,spacy_large,Muslim male names,5
0,127,370,188,0.744466800804829,0.6630824372759857,0.7014218009478674,18,spacy_large,Muslim male names,5
0,133,363,195,0.7318548387096774,0.6505376344086021,0.6888045540796964,19,spacy_large,Muslim male names,5
0,117,389,169,0.7687747035573123,0.6971326164874552,0.731203007518797,0,spacy_large,Unisex names,6
0,113,389,169,0.7749003984063745,0.6971326164874552,0.7339622641509433,1,spacy_large,Unisex names,6
0,109,397,161,0.7845849802371542,0.7114695340501792,0.7462406015037595,2,spacy_large,Unisex names,6
0,116,388,170,0.7698412698412699,0.6953405017921147,0.7306967984934086,3,spacy_large,Unisex names,6
0,114,395,163,0.7760314341846758,0.7078853046594982,0.7403936269915651,4,spacy_large,Unisex names,6
0,116,389,169,0.7702970297029703,0.6971326164874552,0.7318908748824082,5,spacy_large,Unisex names,6
0,115,389,169,0.7718253968253969,0.6971326164874552,0.7325800376647835,6,spacy_large,Unisex names,6
0,118,386,172,0.7658730158730159,0.6917562724014337,0.7269303201506592,7,spacy_large,Unisex names,6
0,120,388,170,0.7637795275590551,0.6953405017921147,0.7279549718574108,8,spacy_large,Unisex names,6
0,109,394,164,0.7833001988071571,0.7060931899641577,0.7426955702167766,9,spacy_large,Unisex names,6
0,107,395,163,0.7868525896414342,0.7078853046594982,0.7452830188679245,10,spacy_large,Unisex names,6
0,111,390,168,0.7784431137724551,0.6989247311827957,0.736543909348442,11,spacy_large,Unisex names,6
0,114,391,167,0.7742574257425743,0.7007168458781362,0.7356538099717781,12,spacy_large,Unisex names,6
0,111,391,167,0.7788844621513944,0.7007168458781362,0.7377358490566038,13,spacy_large,Unisex names,6
0,114,392,166,0.7747035573122529,0.7025089605734767,0.7368421052631579,14,spacy_large,Unisex names,6
0,107,392,166,0.7855711422845691,0.7025089605734767,0.7417218543046358,15,spacy_large,Unisex names,6
0,111,394,164,0.7801980198019802,0.7060931899641577,0.7412982126058326,16,spacy_large,Unisex names,6
0,117,386,172,0.7673956262425448,0.6917562724014337,0.7276154571159283,17,spacy_large,Unisex names,6
0,109,392,166,0.782435129740519,0.7025089605734767,0.7403210576015108,18,spacy_large,Unisex names,6
0,110,397,161,0.7830374753451677,0.7114695340501792,0.7455399061032865,19,spacy_large,Unisex names,6
