,FP,TP,FN,Precision,Recall,F1_score,k,model,augmenter,i
0,103,406,152,0.7976424361493124,0.7275985663082437,0.7610121836925959,0,spacy_large,Danish names,0
0,107,404,154,0.7906066536203522,0.7240143369175627,0.755846585594013,1,spacy_large,Danish names,0
0,104,402,156,0.7944664031620553,0.7204301075268817,0.7556390977443609,2,spacy_large,Danish names,0
0,107,399,159,0.7885375494071146,0.7150537634408602,0.7500000000000001,3,spacy_large,Danish names,0
0,100,407,151,0.8027613412228797,0.7293906810035843,0.7643192488262911,4,spacy_large,Danish names,0
0,102,406,152,0.7992125984251969,0.7275985663082437,0.7617260787992495,5,spacy_large,Danish names,0
0,105,405,153,0.7941176470588235,0.7258064516129032,0.7584269662921348,6,spacy_large,Danish names,0
0,110,399,159,0.7838899803536346,0.7150537634408602,0.7478912839737583,7,spacy_large,Danish names,0
0,104,405,153,0.7956777996070727,0.7258064516129032,0.7591377694470478,8,spacy_large,Danish names,0
0,103,407,151,0.7980392156862746,0.7293906810035843,0.7621722846441948,9,spacy_large,Danish names,0
0,105,405,153,0.7941176470588235,0.7258064516129032,0.7584269662921348,10,spacy_large,Danish names,0
0,107,401,157,0.7893700787401575,0.7186379928315412,0.7523452157598499,11,spacy_large,Danish names,0
0,101,408,150,0.8015717092337917,0.7311827956989247,0.7647610121836926,12,spacy_large,Danish names,0
0,100,404,154,0.8015873015873016,0.7240143369175627,0.7608286252354048,13,spacy_large,Danish names,0
0,104,405,153,0.7956777996070727,0.7258064516129032,0.7591377694470478,14,spacy_large,Danish names,0
0,101,408,150,0.8015717092337917,0.7311827956989247,0.7647610121836926,15,spacy_large,Danish names,0
0,104,404,154,0.7952755905511811,0.7240143369175627,0.7579737335834897,16,spacy_large,Danish names,0
0,104,403,155,0.7948717948717948,0.7222222222222222,0.7568075117370893,17,spacy_large,Danish names,0
0,102,404,154,0.7984189723320159,0.7240143369175627,0.7593984962406015,18,spacy_large,Danish names,0
0,105,401,157,0.7924901185770751,0.7186379928315412,0.7537593984962406,19,spacy_large,Danish names,0
0,137,359,199,0.7237903225806451,0.6433691756272402,0.681214421252372,0,spacy_large,Muslim names,1
0,150,348,210,0.6987951807228916,0.6236559139784946,0.6590909090909091,1,spacy_large,Muslim names,1
0,150,347,211,0.6981891348088531,0.6218637992831542,0.6578199052132702,2,spacy_large,Muslim names,1
0,148,347,211,0.701010101010101,0.6218637992831542,0.6590693257359925,3,spacy_large,Muslim names,1
0,134,361,197,0.7292929292929293,0.6469534050179212,0.6856600189933524,4,spacy_large,Muslim names,1
0,139,363,195,0.7231075697211156,0.6505376344086021,0.6849056603773584,5,spacy_large,Muslim names,1
0,135,363,195,0.7289156626506024,0.6505376344086021,0.6874999999999999,6,spacy_large,Muslim names,1
0,138,355,203,0.7200811359026369,0.6362007168458781,0.6755470980019029,7,spacy_large,Muslim names,1
0,136,364,194,0.728,0.6523297491039427,0.6880907372400756,8,spacy_large,Muslim names,1
0,130,365,193,0.7373737373737373,0.6541218637992832,0.6932573599240266,9,spacy_large,Muslim names,1
0,134,366,192,0.732,0.6559139784946236,0.6918714555765595,10,spacy_large,Muslim names,1
0,149,350,208,0.7014028056112225,0.6272401433691757,0.6622516556291391,11,spacy_large,Muslim names,1
0,141,353,205,0.7145748987854251,0.6326164874551972,0.6711026615969582,12,spacy_large,Muslim names,1
0,131,366,192,0.7364185110663984,0.6559139784946236,0.6938388625592418,13,spacy_large,Muslim names,1
0,130,365,193,0.7373737373737373,0.6541218637992832,0.6932573599240266,14,spacy_large,Muslim names,1
0,135,365,193,0.73,0.6541218637992832,0.6899810964083176,15,spacy_large,Muslim names,1
0,145,357,201,0.7111553784860558,0.6397849462365591,0.6735849056603773,16,spacy_large,Muslim names,1
0,136,360,198,0.7258064516129032,0.6451612903225806,0.6831119544592029,17,spacy_large,Muslim names,1
0,138,358,200,0.7217741935483871,0.6415770609318996,0.6793168880455407,18,spacy_large,Muslim names,1
