,FP,TP,FN,Precision,Recall,F1_score,k,model,augmenter,i
0,102,402,156,0.7976190476190477,0.7204301075268817,0.7570621468926554,0,spacy_medium,Danish names,0
0,99,400,158,0.8016032064128257,0.7168458781362007,0.7568590350047304,1,spacy_medium,Danish names,0
0,102,401,157,0.7972166998011928,0.7186379928315412,0.7558906691800188,2,spacy_medium,Danish names,0
0,101,404,154,0.8,0.7240143369175627,0.760112888052681,3,spacy_medium,Danish names,0
0,101,400,158,0.7984031936127745,0.7168458781362007,0.7554296506137866,4,spacy_medium,Danish names,0
0,105,396,162,0.7904191616766467,0.7096774193548387,0.7478753541076487,5,spacy_medium,Danish names,0
0,109,395,163,0.7837301587301587,0.7078853046594982,0.743879472693032,6,spacy_medium,Danish names,0
0,99,402,156,0.8023952095808383,0.7204301075268817,0.7592067988668555,7,spacy_medium,Danish names,0
0,101,399,159,0.798,0.7150537634408602,0.7542533081285444,8,spacy_medium,Danish names,0
0,103,400,158,0.7952286282306164,0.7168458781362007,0.7540056550424128,9,spacy_medium,Danish names,0
0,103,399,159,0.7948207171314741,0.7150537634408602,0.7528301886792453,10,spacy_medium,Danish names,0
0,101,401,157,0.798804780876494,0.7186379928315412,0.7566037735849056,11,spacy_medium,Danish names,0
0,108,397,161,0.7861386138613862,0.7114695340501792,0.7469426152398871,12,spacy_medium,Danish names,0
0,107,394,164,0.7864271457085829,0.7060931899641577,0.7440982058545798,13,spacy_medium,Danish names,0
0,104,397,161,0.7924151696606786,0.7114695340501792,0.7497639282341833,14,spacy_medium,Danish names,0
0,104,398,160,0.7928286852589641,0.7132616487455197,0.750943396226415,15,spacy_medium,Danish names,0
0,105,396,162,0.7904191616766467,0.7096774193548387,0.7478753541076487,16,spacy_medium,Danish names,0
0,105,398,160,0.7912524850894632,0.7132616487455197,0.7502356267672007,17,spacy_medium,Danish names,0
0,104,398,160,0.7928286852589641,0.7132616487455197,0.750943396226415,18,spacy_medium,Danish names,0
0,104,397,161,0.7924151696606786,0.7114695340501792,0.7497639282341833,19,spacy_medium,Danish names,0
0,171,326,232,0.6559356136820925,0.5842293906810035,0.6180094786729858,0,spacy_medium,Muslim names,1
0,164,326,232,0.6653061224489796,0.5842293906810035,0.6221374045801525,1,spacy_medium,Muslim names,1
0,156,331,227,0.6796714579055442,0.5931899641577061,0.6334928229665071,2,spacy_medium,Muslim names,1
0,156,333,225,0.6809815950920245,0.5967741935483871,0.6361031518624641,3,spacy_medium,Muslim names,1
0,163,333,225,0.6713709677419355,0.5967741935483871,0.6318785578747629,4,spacy_medium,Muslim names,1
0,139,357,201,0.719758064516129,0.6397849462365591,0.6774193548387096,5,spacy_medium,Muslim names,1
0,174,328,230,0.6533864541832669,0.5878136200716846,0.6188679245283017,6,spacy_medium,Muslim names,1
0,160,331,227,0.6741344195519349,0.5931899641577061,0.6310772163965682,7,spacy_medium,Muslim names,1
0,153,344,214,0.6921529175050302,0.6164874551971327,0.6521327014218009,8,spacy_medium,Muslim names,1
0,161,334,224,0.6747474747474748,0.5985663082437276,0.634377967711301,9,spacy_medium,Muslim names,1
0,156,341,217,0.6861167002012073,0.6111111111111112,0.6464454976303318,10,spacy_medium,Muslim names,1
0,151,339,219,0.6918367346938775,0.6075268817204301,0.6469465648854962,11,spacy_medium,Muslim names,1
0,152,333,225,0.6865979381443299,0.5967741935483871,0.638542665388303,12,spacy_medium,Muslim names,1
0,157,337,221,0.6821862348178138,0.6039426523297491,0.6406844106463878,13,spacy_medium,Muslim names,1
