first_name
Abida
Abrar
Adela
Adila
Afaf
Ahlam
Aida
Aisha
Aishah
Ala
Alia
Alisa
Alissa
Aliya
Almas
Almasa
Amaal
Amal
Amani
Amina
Aminah
Amira
Amna
Amra
Anika
Aniqa
Anisa
Arifa
Arwa
Arzu
Aseel
Asil
Asima
Asiya
Asmaa
Asra
Assia
Atifa
Atika
Awatef
Aya
Ayah
Ayat
Ayda
Azhar
Aziza
Azra
Azza
Bahar
Bahia
Bahra
Ban
Banu
Basima
Basma
Batoul
Batul
Bayan
Begum
Bibi
Bushra
Dahlia
Dalal
Dalia
Dalila
Daria
Dima
Dinah
Duaa
Duha
Dunia
Dunya
Fadia
Fadila
Fadwa
Fahima
Faisa
Faiza
Farah
Farha
Farida
Farzana
Fatema
Fatemah
Faten
Fathia
Fatiha
Fatima
Fatimah
Fatin
Fatma
Fatuma
Fawzia
Fayza
Fida
Ghada
Ghadir
Ghazal
Ghazala
Gul
Gulistan
Gulshan
Habiba
Hadia
Hadil
Hadiya
Hafiza
Hafsa
Hafsah
Hagar
Haifa
Hajar
Hakima
Hala
Halima
Hamda
Hamida
Hana
Hanaa
Hanadi
Hanan
Hanane
Hanifa
Hanin
Hannan
Hasiba
Hasina
Hasna
Hatun
Hawa
Hawra
Hawraa
Hayat
Hayfa
Heba
Hebah
Hena
Hiba
Hilal
Hind
Hinna
Hiyam
Hoda
Houda
Huda
Humaira
Husna
Ibtisam
Ikhlas
Ikram
Ilham
Ilhan
Iman
Imane
Inaam
Inas
Insaf
Intisar
Iqra
Isa
Ishrat
Isra
Israa
Itaf
Jahan
Jamila
Jamilla
Jana
Janan
Janna
Jasmin
Jasmina
Jasmine
Jawahir
Jenan
Jihan
Jinan
Judi
Jun
Kamila
Kamilia
Kaniz
Karima
Kausar
Kawthar
Khadija
Khadijah
Khadra
Khalida
Kifah
Kishwar
Laila
Lama
Lamia
Lamis
Lana
Latifa
Layla
Leila
Leyla
Lubna
Lulu
Madiha
Mah
Maha
Mahira
Mahnaz
Maimuna
Maisa
Majida
Malaika
Malak
Maliha
Malika
Manal
Manar
Manna
Maram
Mariam
Mariem
Marjan
Marwa
Maryam
May
Maysa
Maysaa
Meriam
Mimouna
Mina
Mirah
Miriam
Mouna
Mounira
Mumtaz
Muna
Muntaha
Nabiha
Nabila
Nada
Nadira
Nadiya
Nadra
Nafisa
Nagham
Nahed
Nahid
Nahida
Nahla
Naia
Naila
Naima
Najah
Najat
Najia
Najiba
Najla
Najma
Najwa
Nargis
Nariman
Narjes
Nasim
Nasima
Nasira
Nasreen
Nasrin
Nawal
Naz
Nazanin
Nazifa
Naziha
Nazik
Nazira
Nazli
Nejla
Nida
Nihal
Nisa
Nisrin
Noor
Nour
Nuha
Nur
Nura
Nuran
Nusrat
Nuzhat
Ola
Rabab
Rabia
Rabiya
Radia
Rafia
Rafika
Raghad
Rahima
Raisa
Rajaa
Ramla
Rana
Rand
Randa
Rania
Ranya
Rasha
Rashida
Rasima
Rayan
Razan
Razia
Reem
Rehab
Rehana
Rihab
Riham
Rihana
Rim
Rima
Roya
Saada
Saadia
Saba
Sabah
Sabiha
Sada
Sadia
Sadika
Sadiya
Saeeda
Safa
Safaa
Safia
Safiya
Sahar
Saida
Saima
Saja
Sajeda
Sajida
Sakina
Saleha
Salha
Saliha
Salima
Salma
Salwa
Sama
Samah
Samar
Samia
Samra
Sana
Sanaa
Sanah
Sania
Sara
Sarah
Sawsan
Selima
Shabnam
Shadia
Shafiqa
Shahida
Shahla
Shahnaz
Shahrzad
Shaima
Shakila
Shama
Shamim
Shams
Sharifa
Shatha
Shayma
Shazia
Shirin
Siddika
Sidra
Siham
Simin
Sirin
Sonya
Soraya
Souad
Soumaya
Suad
Suha
Suhad
Suhaila
Suhair
Sultan
Sultana
Sumaira
Sumaya
Sundus
Sura
Surayya
Taghrid
Tahani
Tahira
Tahmina
Taiba
Tanzila
Tasnim
Tuba
Ubah
Uzma
Wadad
Wafa
Wafika
Wahida
Walaa
Warda
Widad
Yamina
Yasamin
Yasemin
Yasmin
Yasmina
Yasmine
Yousra
Yusra
Zahia
Zahida
Zahra
Zahraa
Zaina
Zainab
Zaineb
Zakia
Zamzam
Zarifa
Zarina
Zaynab
Zeba
Zeina
Zeinab
Zeineb
Ziba
Zinat
Zohra
Zubaida
Zuhra
